Start time/date   [hh-mm-ss dd/mm/yyyy]: 01-00-00 01/01/2020
Timestep              : 3 hours
Number of Stations    : 2
Number of time steps  : 480
; Each row below contains the wave height (m), orientation (deg) and period (s) for each time step for all stations
; Starting from the first station (i.e. station with id=1 on the corresponding point shape file)
; Values separated by a COMMA
; Starting on 01-00-00 01/01/2020 at 1 hours time step interval
; Coordinates of wave point lat-lon: 491522_4065494;497000_4065486
0.402,290.532,3.391,0.377,292.903,3.345
0.483,291.192,3.427,0.454,294.140,3.372
0.351,351.028,2.792,0.354,351.212,2.810
0.297,332.959,2.979,0.297,333.625,2.977
0.257,357.173,2.609,0.257,353.245,2.615
0.260,331.356,2.991,0.260,331.857,2.989
0.356,302.646,2.762,0.344,304.867,2.723
0.355,299.083,3.304,0.338,312.350,3.264
0.312,285.950,2.675,0.296,295.939,2.606
0.373,284.389,2.303,0.351,282.798,2.220
0.428,309.251,2.431,0.414,308.868,2.379
0.321,340.049,2.142,0.321,339.038,2.153
0.354,328.471,2.563,0.348,328.295,2.554
0.349,323.598,2.536,0.344,324.247,2.522
0.557,327.714,2.927,0.552,327.332,2.918
0.563,19.975,3.113,0.562,20.511,3.137
0.728,36.215,4.032,0.719,36.713,4.042
0.649,4.391,3.857,0.649,7.901,3.866
0.660,21.293,3.834,0.668,19.166,3.856
0.865,11.492,4.235,0.867,5.003,4.294
0.681,0.694,5.109,0.674,356.574,5.166
0.635,331.240,5.245,0.617,330.932,5.264
0.513,345.554,5.545,0.505,345.124,5.558
0.439,352.835,5.428,0.433,352.522,5.444
0.466,346.074,5.189,0.457,345.423,5.210
0.584,343.698,5.047,0.573,341.941,5.083
0.983,294.157,4.308,0.931,297.282,4.284
1.446,280.605,4.560,1.321,286.313,4.362
1.298,304.835,4.047,1.234,308.342,3.991
1.056,318.792,3.725,1.020,320.214,3.709
0.795,57.114,3.032,0.820,55.607,3.209
0.593,67.757,2.823,0.602,65.294,2.926
0.584,79.516,2.816,0.596,76.491,2.926
0.616,56.405,2.583,0.633,55.440,2.722
0.426,303.820,4.078,0.408,308.350,4.050
0.317,287.057,3.260,0.296,295.879,3.192
0.308,286.011,2.993,0.285,296.194,2.922
0.247,296.734,3.063,0.234,300.311,3.020
0.211,338.518,2.562,0.212,339.079,2.566
0.239,346.937,3.190,0.241,347.890,3.202
0.339,49.173,2.651,0.345,47.337,2.694
0.477,57.515,2.509,0.488,56.761,2.599
0.351,52.663,3.911,0.354,52.047,3.951
0.343,11.932,4.271,0.340,11.980,4.301
0.290,320.757,5.457,0.279,325.522,5.455
